"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig"
"CDI Acumulado<BraNa>","Mar-1986",9.5573511541E-8
"CDI Acumulado<BraNa>","Abr-1986",9.6883509142E-8
"CDI Acumulado<BraNa>","Mai-1986",9.8161489817E-8
"CDI Acumulado<BraNa>","Jun-1986",9.969975531E-8
"CDI Acumulado<BraNa>","Jul-1986",1.0191821242E-7
"CDI Acumulado<BraNa>","Ago-1986",1.0486930703E-7
"CDI Acumulado<BraNa>","Set-1986",1.0833104595E-7
"CDI Acumulado<BraNa>","Out-1986",1.1207370106E-7
"CDI Acumulado<BraNa>","Nov-1986",1.1792368296E-7
"CDI Acumulado<BraNa>","Dez-1986",1.303114938E-7
"CDI Acumulado<BraNa>","Jan-1987",1.4940649294E-7
"CDI Acumulado<BraNa>","Fev-1987",1.8266636163E-7
"CDI Acumulado<BraNa>","Mar-1987",2.0824527636E-7
"CDI Acumulado<BraNa>","Abr-1987",2.4100477304E-7
"CDI Acumulado<BraNa>","Mai-1987",3.029244248E-7
"CDI Acumulado<BraNa>","Jun-1987",3.6027481511E-7
"CDI Acumulado<BraNa>","Jul-1987",3.9439035767E-7
"CDI Acumulado<BraNa>","Ago-1987",4.2784416406E-7
"CDI Acumulado<BraNa>","Set-1987",4.6519028609E-7
"CDI Acumulado<BraNa>","Out-1987",5.1363298765E-7
"CDI Acumulado<BraNa>","Nov-1987",5.8419404333E-7
"CDI Acumulado<BraNa>","Dez-1987",6.7540907453E-7
"CDI Acumulado<BraNa>","Jan-1988",7.9176238832E-7
"CDI Acumulado<BraNa>","Fev-1988",9.3940944669E-7
"CDI Acumulado<BraNa>","Mar-1988",0.0000010965386623
"CDI Acumulado<BraNa>","Abr-1988",0.00000131838073
"CDI Acumulado<BraNa>","Mai-1988",0.000001564551556
"CDI Acumulado<BraNa>","Jun-1988",0.0000018807394752
"CDI Acumulado<BraNa>","Jul-1988",0.0000023413115456
"CDI Acumulado<BraNa>","Ago-1988",0.0000028722968544
"CDI Acumulado<BraNa>","Set-1988",0.0000036186852794
"CDI Acumulado<BraNa>","Out-1988",0.0000046843099183
"CDI Acumulado<BraNa>","Nov-1988",0.0000059909879955
"CDI Acumulado<BraNa>","Dez-1988",0.0000077905416243
"CDI Acumulado<BraNa>","Jan-1989",0.0000095692384628
"CDI Acumulado<BraNa>","Fev-1989",0.000011421383996
"CDI Acumulado<BraNa>","Mar-1989",0.000013770060027
"CDI Acumulado<BraNa>","Abr-1989",0.000015347996668
"CDI Acumulado<BraNa>","Mai-1989",0.000017127562366
"CDI Acumulado<BraNa>","Jun-1989",0.000021809395249
"CDI Acumulado<BraNa>","Jul-1989",0.000028953518406
"CDI Acumulado<BraNa>","Ago-1989",0.000039204877224
"CDI Acumulado<BraNa>","Set-1989",0.000054240409276
"CDI Acumulado<BraNa>","Out-1989",0.000079834232376
"CDI Acumulado<BraNa>","Nov-1989",0.00011821048973
"CDI Acumulado<BraNa>","Dez-1989",0.00019412101582
"CDI Acumulado<BraNa>","Jan-1990",0.000326573124
"CDI Acumulado<BraNa>","Fev-1990",0.00058762917581
"CDI Acumulado<BraNa>","Mar-1990",0.00080145533886
"CDI Acumulado<BraNa>","Abr-1990",0.0008425101853
"CDI Acumulado<BraNa>","Mai-1990",0.00089253943368
"CDI Acumulado<BraNa>","Jun-1990",0.00097627517248
"CDI Acumulado<BraNa>","Jul-1990",0.0011162896999
"CDI Acumulado<BraNa>","Ago-1990",0.0012574953661
"CDI Acumulado<BraNa>","Set-1990",0.0014775471449
"CDI Acumulado<BraNa>","Out-1990",0.0018033114505
"CDI Acumulado<BraNa>","Nov-1990",0.0022190193448
"CDI Acumulado<BraNa>","Dez-1990",0.0028353965126
"CDI Acumulado<BraNa>","Jan-1991",0.00350052758
"CDI Acumulado<BraNa>","Fev-1991",0.0038056450465
"CDI Acumulado<BraNa>","Mar-1991",0.0041865325337
"CDI Acumulado<BraNa>","Abr-1991",0.0047093951838
"CDI Acumulado<BraNa>","Mai-1991",0.0053047092002
"CDI Acumulado<BraNa>","Jun-1991",0.0058701344816
"CDI Acumulado<BraNa>","Jul-1991",0.0066487405531
"CDI Acumulado<BraNa>","Ago-1991",0.007710717548
"CDI Acumulado<BraNa>","Set-1991",0.0092534034125
"CDI Acumulado<BraNa>","Out-1991",0.011668078162
"CDI Acumulado<BraNa>","Nov-1991",0.01539932684
"CDI Acumulado<BraNa>","Dez-1991",0.02008932886
"CDI Acumulado<BraNa>","Jan-1992",0.025928214456
"CDI Acumulado<BraNa>","Fev-1992",0.03378904699
"CDI Acumulado<BraNa>","Mar-1992",0.042305226838
"CDI Acumulado<BraNa>","Abr-1992",0.052354133271
"CDI Acumulado<BraNa>","Mai-1992",0.064363176763
"CDI Acumulado<BraNa>","Jun-1992",0.079965796652
"CDI Acumulado<BraNa>","Jul-1992",0.10100355673
"CDI Acumulado<BraNa>","Ago-1992",0.12698991924
"CDI Acumulado<BraNa>","Set-1992",0.16209711101
"CDI Acumulado<BraNa>","Out-1992",0.20752550162
"CDI Acumulado<BraNa>","Nov-1992",0.26167418376
"CDI Acumulado<BraNa>","Dez-1992",0.32985965191
"CDI Acumulado<BraNa>","Jan-1993",0.42477692879
"CDI Acumulado<BraNa>","Fev-1993",0.55315768934
"CDI Acumulado<BraNa>","Mar-1993",0.71101099107
"CDI Acumulado<BraNa>","Abr-1993",0.92704923509
"CDI Acumulado<BraNa>","Mai-1993",1.2137472813
"CDI Acumulado<BraNa>","Jun-1993",1.5997243194
"CDI Acumulado<BraNa>","Jul-1993",2.1242157395
"CDI Acumulado<BraNa>","Ago-1993",2.8633945151
"CDI Acumulado<BraNa>","Set-1993",3.9352059606
"CDI Acumulado<BraNa>","Out-1993",5.4458027567
"CDI Acumulado<BraNa>","Nov-1993",7.5212359122
"CDI Acumulado<BraNa>","Dez-1993",10.912382265
"CDI Acumulado<BraNa>","Jan-1994",15.632061887
"CDI Acumulado<BraNa>","Fev-1994",22.112942721
"CDI Acumulado<BraNa>","Mar-1994",32.501449936
"CDI Acumulado<BraNa>","Abr-1994",47.441790526
"CDI Acumulado<BraNa>","Mai-1994",70.33866283
"CDI Acumulado<BraNa>","Jun-1994",104.40413377
"CDI Acumulado<BraNa>","Jul-1994",111.37507658
"CDI Acumulado<BraNa>","Ago-1994",116.0116249
"CDI Acumulado<BraNa>","Set-1994",120.47310393
"CDI Acumulado<BraNa>","Out-1994",124.87541146
"CDI Acumulado<BraNa>","Nov-1994",130.00708993
"CDI Acumulado<BraNa>","Dez-1994",134.97006054
"CDI Acumulado<BraNa>","Jan-1995",139.65965746
