"","Date","CDI Acumulado Fechamento","IBOV Fechamento","IFIX Fechamento"
"1",2000-01-01,534.03405,16388,NA
"2",2000-02-01,541.72693,17660,NA
"3",2000-03-01,549.52161,17820,NA
"4",2000-04-01,556.57631,15537,NA
"5",2000-05-01,564.85885,14956,NA
"6",2000-06-01,572.68326,16727,NA
"7",2000-07-01,580.13668,16454,NA
"8",2000-08-01,588.22961426,17346,NA
"9",2000-09-01,595.38855,15928,NA
"10",2000-10-01,603.00653,14867,NA
"11",2000-11-01,610.33659,13287,NA
"12",2000-12-01,617.62261963,15259,NA
"13",2001-01-01,625.39599609,17672,NA
"14",2001-02-01,631.70977783,15891,NA
"15",2001-03-01,639.6060791,14438,NA
"16",2001-04-01,647.15568,14917,NA
"17",2001-05-01,655.79123,14649,NA
"18",2001-06-01,664.13999,14559,NA
"19",2001-07-01,674.11194,13754,NA
"20",2001-08-01,684.90596,12840,NA
"21",2001-09-01,693.96677,10635,NA
"22",2001-10-01,704.61236,11364,NA
"23",2001-11-01,714.42972,12931,NA
"24",2001-12-01,724.38604,13577,NA
"25",2002-01-01,735.48283,12721,NA
"26",2002-02-01,744.65775,14033,NA
"27",2002-03-01,754.85914,13254,NA
"28",2002-04-01,766.05333,13085,NA
"29",2002-05-01,776.80608,12861,NA
"30",2002-06-01,786.98022461,11139,NA
"31",2002-07-01,799.05090332,9762,NA
"32",2002-08-01,810.60164,10382,NA
"33",2002-09-01,821.79409,8622,NA
"34",2002-10-01,835.28326,10167,NA
"35",2002-11-01,848.09252,10508,NA
"36",2002-12-01,862.79914,11268,NA
"37",2003-01-01,879.75701,10941,NA
"38",2003-02-01,895.83448,10280,NA
"39",2003-03-01,911.71866,11273,NA
"40",2003-04-01,928.7309,12556,NA
"41",2003-05-01,946.92802,13421,NA
"42",2003-06-01,964.45355,12972,NA
"43",2003-07-01,984.4722,13571,NA
"44",2003-08-01,1001.84422,15174,NA
"45",2003-09-01,1018.56638,16010,NA
"46",2003-10-01,1035.20142,17982,NA
"47",2003-11-01,1049.05339,20183,NA
"48",2003-12-01,1063.38082,22236,NA
"49",2004-01-01,1076.78549,21851,NA
"50",2004-02-01,1088.41083,21755,NA
"51",2004-03-01,1103.37007,22142,NA
"52",2004-04-01,1116.33111,19607,NA
"53",2004-05-01,1130.00454,19544,NA
"54",2004-06-01,1143.83095,21148,NA
"55",2004-07-01,1158.49237,22336,NA
"56",2004-08-01,1173.39161,22803,NA
"57",2004-09-01,1187.99006,23245,NA
"58",2004-10-01,1202.34233,23052,NA
"59",2004-11-01,1217.35665,25128,NA
"60",2004-12-01,1235.37201,26196,NA
"61",2005-01-01,1252.45458,24350,NA
"62",2005-02-01,1267.68338,28139,NA
"63",2005-03-01,1286.97721,26610,NA
"64",2005-04-01,1305.09811,24843,NA
"65",2005-05-01,1324.68032,25207,NA
"66",2005-06-01,1345.66925,25051,NA
"67",2005-07-01,1365.98577,26042,NA
"68",2005-08-01,1388.56352,28044,NA
"69",2005-09-01,1409.38731,31583,NA
"70",2005-10-01,1429.16544,30193,NA
"71",2005-11-01,1448.83555,31916,NA
"72",2005-12-01,1470.0875,33455,NA
"73",2006-01-01,1491.04532,38382,NA
"74",2006-02-01,1508.04429,38610,NA
"75",2006-03-01,1529.43348,37951,NA
"76",2006-04-01,1545.88029,40363,NA
"77",2006-05-01,1565.63979,36530,NA
"78",2006-06-01,1584.14829,36630,NA
"79",2006-07-01,1602.63476,37077,NA
"80",2006-08-01,1622.68887,36232,NA
"81",2006-09-01,1639.77859,36449,NA
"82",2006-10-01,1657.65413,39262,NA
"83",2006-11-01,1674.51721,41931,NA
"84",2006-12-01,1690.99957,44473,NA
"85",2007-01-01,1709.2353,44641,NA
"86",2007-02-01,1724.10201,43892,NA
"87",2007-03-01,1742.18021,45804,NA
"88",2007-04-01,1758.56754,48956,NA
"89",2007-05-01,1776.54226,52268,NA
"90",2007-06-01,1792.55734,54392,NA
"91",2007-07-01,1809.9119,54182,NA
"92",2007-08-01,1827.79055,54637,NA
"93",2007-09-01,1842.42319,60465,NA
"94",2007-10-01,1859.4486,65317,NA
"95",2007-11-01,1875.06493,63006,NA
"96",2007-12-01,1890.80498,63886,NA
"97",2008-01-01,1908.23726,59490,NA
"98",2008-02-01,1923.40821,63489,NA
"99",2008-03-01,1939.53675,60968,NA
"100",2008-04-01,1956.95035,67868,NA
"101",2008-05-01,1973.99969,72592,NA
"102",2008-06-01,1992.71763,65017,NA
"103",2008-07-01,2013.925,59505,NA
"104",2008-08-01,2034.32247,55680,NA
"105",2008-09-01,2056.66996,49541,NA
"106",2008-10-01,2080.8124,37256,NA
"107",2008-11-01,2101.53379,36595,NA
"108",2008-12-01,2124.88298,37550,NA
"109",2009-01-01,2147.04102,39300,NA
"110",2009-02-01,2165.34913,38183,NA
"111",2009-03-01,2186.27816,40925,NA
"112",2009-04-01,2204.54684,47289,NA
"113",2009-05-01,2221.4445,53197,NA
"114",2009-06-01,2238.13718,51465,NA
"115",2009-07-01,2255.68601,54765,NA
"116",2009-08-01,2271.28319,56488,NA
"117",2009-09-01,2286.9899,61517,NA
"118",2009-10-01,2302.79765,61545,NA
"119",2009-11-01,2317.97346,67044,NA
"120",2009-12-01,2334.75278,68588,NA
"121",2010-01-01,2350.12029,65401,NA
"122",2010-02-01,2364.04485,66503,NA
"123",2010-03-01,2381.93913,70371,NA
